HUD frame time nsec:,16669000

Range Index,Elapsed Time, First Event,Last Event
0,161152,18,18
1,16864,29,29
2,1600,37,37
3,704,45,45
4,148512,50,50
5,259136,83,83
6,31392,92,92
7,4448,101,101
8,48672,110,110
9,12128,138,138
10,26048,144,144
11,864,148,148
12,151328,149,149
13,8352,157,157
14,496096,172,172
15,2976,180,180
16,736,182,182
17,13671136,184,184
